production_id,date,plant_id,product_id,quantity_produced,machine_id,temperature,energy_consumption,downtime_minutes
prod_20260320_001,2026-03-20,PLANT_US_01,PROD_GLASS_C3,5160,MACHINE_LINE_07,863.8,5201.13,7
prod_20260320_002,2026-03-20,PLANT_US_01,PROD_GLASS_B2,3750,MACHINE_LINE_02,829.1,3650.38,44
prod_20260320_003,2026-03-20,PLANT_APAC_01,PROD_GLASS_C3,3945,MACHINE_LINE_07,858.9,3597.5,8
prod_20260320_004,2026-03-20,PLANT_EU_01,PROD_GLASS_B2,3296,MACHINE_LINE_05,826.3,2906.54,12
prod_20260320_005,2026-03-20,PLANT_APAC_01,PROD_GLASS_A1,3036,MACHINE_LINE_02,830.7,2740.99,3
prod_20260320_006,2026-03-20,PLANT_EU_01,PROD_GLASS_A1,3758,MACHINE_LINE_05,862.2,3568.0,22
prod_20260320_007,2026-03-20,PLANT_APAC_01,PROD_GLASS_C3,4309,MACHINE_LINE_07,832.0,4019.32,28
prod_20260320_008,2026-03-20,PLANT_APAC_01,PROD_GLASS_B2,3656,MACHINE_LINE_01,835.9,3246.77,26
prod_20260320_009,2026-03-20,PLANT_US_01,PROD_GLASS_C3,6535,MACHINE_LINE_06,868.8,6168.29,24
prod_20260320_010,2026-03-20,PLANT_EU_01,PROD_GLASS_C3,3811,MACHINE_LINE_05,874.1,3335.38,17
prod_20260320_011,2026-03-20,PLANT_APAC_01,PROD_GLASS_A1,5180,MACHINE_LINE_03,843.3,4714.11,18
prod_20260320_012,2026-03-20,PLANT_US_01,PROD_GLASS_C3,3884,MACHINE_LINE_01,851.5,3779.24,13
