shipment_id,order_id,product_id,quantity,origin,destination,supplier_id,dispatch_date,expected_delivery_date,actual_delivery_date,delay_days,status
ship_20260403_001,PO_2026_04_001,PROD_GLASS_B2,1241,WAREHOUSE_US_01,WAREHOUSE_AU_01,SUP_LOGISTICS_02,2026-04-03,2026-04-25,,0,PENDING
ship_20260403_002,PO_2026_04_002,PROD_GLASS_C3,503,WAREHOUSE_EU_01,WAREHOUSE_APAC_02,SUP_PACKAGING_02,2026-03-26,2026-04-09,,0,IN_TRANSIT
ship_20260403_003,PO_2026_04_003,PROD_GLASS_A1,1515,WAREHOUSE_APAC_01,WAREHOUSE_US_01,SUP_LOGISTICS_01,2026-03-26,2026-04-12,,0,IN_TRANSIT
ship_20260403_004,PO_2026_04_004,PROD_GLASS_B2,1205,WAREHOUSE_EU_01,WAREHOUSE_APAC_02,SUP_LOGISTICS_03,2026-03-31,2026-04-10,2026-04-10,0,DELIVERED
ship_20260403_005,PO_2026_04_005,PROD_GLASS_C3,1880,WAREHOUSE_EU_01,WAREHOUSE_APAC_02,SUP_LOGISTICS_03,2026-04-03,2026-04-08,,0,PENDING
ship_20260403_006,PO_2026_04_006,PROD_GLASS_A1,1806,WAREHOUSE_US_01,WAREHOUSE_APAC_01,SUP_ADHESIVE_01,2026-03-28,2026-04-20,2026-04-20,0,DELIVERED
ship_20260403_007,PO_2026_04_007,PROD_GLASS_C3,531,WAREHOUSE_US_01,WAREHOUSE_EU_02,SUP_METAL_FRAME_02,2026-04-03,2026-04-13,,0,PENDING
ship_20260403_008,PO_2026_04_008,PROD_GLASS_B2,1319,WAREHOUSE_US_01,WAREHOUSE_AU_01,SUP_LOGISTICS_01,2026-03-29,2026-04-24,,0,IN_TRANSIT
ship_20260403_009,PO_2026_04_009,PROD_GLASS_A1,565,WAREHOUSE_US_01,WAREHOUSE_AU_01,SUP_LOGISTICS_01,2026-04-01,2026-04-23,2026-04-23,0,DELIVERED
ship_20260403_010,PO_2026_04_010,PROD_GLASS_B2,555,WAREHOUSE_EU_01,WAREHOUSE_US_02,SUP_PACKAGING_01,2026-03-31,2026-04-10,2026-04-10,0,DELIVERED
